                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                 1.2267,                 2.3615,                  1.163,                0.44521,                0.50766,                 0.4676,                0.35072,                0.93544,                  1.567,                  1.045,             8.5571e-05,             8.5571e-05,             8.5571e-05
                     45,                 1.2083,                 2.3074,                 1.1577,                0.48847,                0.50368,                0.47127,                0.35248,                0.93798,                  1.536,                 1.0494,             8.4096e-05,             8.4096e-05,             8.4096e-05
                     46,                 1.1798,                 2.3169,                 1.1445,                0.48431,                0.48752,                0.46327,                0.34875,                0.93333,                 1.5717,                 1.0469,              8.262e-05,              8.262e-05,              8.262e-05
                     47,                 1.2285,                 2.3725,                 1.1734,                0.48442,                0.49863,                0.47367,                0.35645,                0.93422,                 1.5211,                 1.0461,             8.1145e-05,             8.1145e-05,             8.1145e-05
                     48,                 1.2293,                 2.3988,                 1.1565,                0.42512,                0.54212,                 0.4789,                0.36084,                0.92714,                 1.5275,                  1.043,              7.967e-05,              7.967e-05,              7.967e-05
                     49,                 1.1915,                 2.2841,                 1.1342,                0.40111,                0.53629,                 0.4772,                0.36058,                0.92611,                 1.5549,                 1.0425,             7.8195e-05,             7.8195e-05,             7.8195e-05
                     50,                 1.2505,                 2.3155,                 1.1769,                0.46259,                0.50767,                 0.4783,                0.36199,                0.92945,                 1.5644,                  1.046,              7.672e-05,              7.672e-05,              7.672e-05
                     51,                 1.2201,                 2.3038,                 1.1468,                0.40337,                0.56735,                0.47928,                0.36225,                0.92222,                 1.5288,                 1.0519,             7.5245e-05,             7.5245e-05,             7.5245e-05
                     52,                 1.1687,                  2.257,                 1.1441,                0.43186,                0.53078,                0.47925,                0.36123,                0.92415,                  1.508,                 1.0496,              7.377e-05,              7.377e-05,              7.377e-05
                     53,                 1.1573,                 2.3545,                  1.113,                 0.4733,                0.52564,                 0.4861,                0.36611,                0.94556,                 1.5487,                 1.0499,             7.2295e-05,             7.2295e-05,             7.2295e-05
                     54,                 1.2001,                 2.2715,                 1.1543,                0.45603,                0.54886,                0.48799,                0.36875,                 0.9161,                 1.4785,                 1.0417,              7.082e-05,              7.082e-05,              7.082e-05
                     55,                 1.2107,                 2.2578,                 1.1494,                0.41479,                0.58332,                0.48685,                0.36767,                0.92457,                 1.4951,                 1.0501,             6.9345e-05,             6.9345e-05,             6.9345e-05
                     56,                 1.1748,                 2.1995,                 1.1537,                 0.4488,                 0.5643,                0.49055,                0.37171,                0.92448,                  1.495,                 1.0472,             6.7869e-05,             6.7869e-05,             6.7869e-05
                     57,                 1.1937,                 2.2717,                 1.1453,                0.42846,                0.56453,                0.49428,                 0.3751,                0.91654,                 1.4659,                 1.0384,             6.6394e-05,             6.6394e-05,             6.6394e-05
                     58,                 1.1531,                 2.2246,                 1.1148,                0.41626,                0.59658,                0.49305,                0.37394,                0.91893,                  1.522,                 1.0482,             6.4919e-05,             6.4919e-05,             6.4919e-05
                     59,                 1.1779,                 2.2443,                 1.1365,                0.45811,                0.55862,                0.49671,                0.37579,                0.91817,                 1.5251,                 1.0388,             6.3444e-05,             6.3444e-05,             6.3444e-05
                     60,                 1.1727,                 2.1805,                 1.1312,                0.42637,                0.57185,                0.49805,                0.37883,                0.90975,                 1.5109,                 1.0354,             6.1969e-05,             6.1969e-05,             6.1969e-05
                     61,                 1.1865,                 2.2321,                 1.1399,                 0.4157,                0.58958,                0.49252,                0.37404,                0.91957,                 1.5516,                 1.0431,             6.0494e-05,             6.0494e-05,             6.0494e-05
                     62,                 1.1668,                  2.221,                 1.1338,                0.40328,                0.59958,                0.49424,                0.37648,                0.90419,                 1.5186,                 1.0293,             5.9019e-05,             5.9019e-05,             5.9019e-05
                     63,                 1.1733,                  2.184,                 1.1479,                0.43424,                0.56606,                 0.4914,                0.37277,                0.93341,                 1.5422,                 1.0508,             5.7544e-05,             5.7544e-05,             5.7544e-05
